"year","rating","length","movie_name","Genres:","Rate:","Added to Netflix:","Director:","Cast:","Production Country:","New Season Added:"
"2020","6.5/10","68 min","Larry the Cable Guy: Remain Seated","Stand-Up Comedy","","November 26, 2020","Brian Volk-Weiss","Larry the Cable Guy","United States",NA
"2020","7.1/10","103 min","Mosul","Action & Adventure, Dramas, International Movies","","November 26, 2020","Matthew Michael Carnahan","Suhail Dabbach, Adam Bessa, Is'haq Elias, Qutaiba Abdelhaq, Ahmad El Ghanem, Hicham Ouarqa, Mohimen Mahbuba, Thaer Al-Shayei, Abdellah Bensaid, Faycal Attougui, Mohamed Attougui, Tarik Belmekki, Hayat Kamille, Seema Al Khalidi, Waleed Algadi","United States",NA
"2017","7.1/10","121 min","Unexpectedly Yours","Comedies, International Movies, Romantic Movies","","November 26, 2020","Cathy Garcia-Molina","Sharon Cuneta, Robin Padilla, Julia Barretto, Joshua Garcia, John Estrada, Pilar Pilapil, Marissa Delgado, Maritoni Fernandez","Philippines",NA
"2020","5.6/10","95 min","Ghosts of War","Horror Movies","","November 25, 2020","Eric Bress","Brenton Thwaites, Theo Rossi, Skylar Astin, Kyle Gallner, Alan Ritchson, Billy Zane, Shaun Toub","United Kingdom",NA
"2020","8.0/10","2 Seasons","Great Pretender","Anime Series, Crime TV Shows, International TV Shows","",NA,NA,"Chiaki Kobayashi, Junichi Suwabe, Natsumi Fujiwara, Mie Sonozaki","Japan","November 25, 2020"
"2020","7.3/10","87 min","Shawn Mendes: Live in Concert","Music & Musicals","","November 25, 2020","Paul Dugdale","Shawn Mendes","United Kingdom, United States",NA
"2020","5.8/10","115 min","The Christmas Chronicles: Part Two","Children & Family Movies, Comedies","","November 25, 2020","Chris Columbus","Kurt Russell, Goldie Hawn, Darby Camp, Jahzir Bruno, Julian Dennison, Judah Lewis, Kimberly Williams-Paisley, Tyrese Gibson","Canada",NA
"2020",NA,"171 min","Andhaghaaram","Horror Movies, International Movies, Thrillers","","November 24, 2020","V Vignarajan","Vinoth Kishan, Arjun Das, Pooja Ramachandran, Kumar Natarajan, Misha Ghoshal, Arul Vincent, Chenthu Mohan, Pradeep Kalipurayath",NA,NA
"2020","7.7/10","171 min","Andhakaaram","Horror Movies, International Movies, Thrillers","","November 24, 2020","V Vignarajan","Vinoth Kishan, Arjun Das, Pooja Ramachandran, Kumar Natarajan, Misha Ghoshal, Arul Vincent, Chenthu Mohan, Pradeep Kalipurayath","India",NA
"2015",NA,"1 Season","Before 30","International TV Shows, Romantic TV Shows, TV Comedies","","November 24, 2020","BB Sasore","Damilola Adegbite, O.C. Ukeje, Beverly Naya, Meg Otanwa, Anee Icha, Patrick Diabuah, Tunbosun Aiyedehin, Patrick Doyle","Nigeria",NA
"2020","5.6/10","46 min","Dragons: Rescue Riders: Huttsgalor Holiday","Children & Family Movies, Comedies","","November 24, 2020","Greg Rankin, TJ Sullivan","Noah Kaye Bentley, Brennley Brown, Zach Callison, Nicolas Cantu, Skai Jackson, Marsai Martin, Andre Robinson, Carlos Alazraqui, Roshon Fegan, Grey Griffin, Brad Grusnick, Sam Lavagnino, John C. McGinley, Roger Craig Smith","United States",NA
"2020","6.9/10","117 min","Hillbilly Elegy","Dramas","","November 24, 2020","Ron Howard","Amy Adams, Glenn Close, Gabriel Basso, Haley Bennett, Freida Pinto, Bo Hopkins, Owen Asztalos","United States",NA
"2020","6.4/10","84 min","Notes for My Son","Dramas, International Movies","","November 24, 2020","Carlos Sorín","Valeria Bertuccelli, Esteban Lamothe, Julián Sorín, Mauricio Dayub, Malena Pichot, Catarina Spinetta, Carla Quevedo, Anita Pauls, Mónica Antonópulos, Paola Barrientos, Ana Katz, Romina Richi, Diego Gentile, Beatriz Spelzini, Diego Reinhold","Argentina",NA
"2020","5.3/10","1 Season","Valentino","International TV Shows, TV Comedies, TV Dramas","","November 24, 2020",NA,"Adel Imam, Dalal Abdelaziz, Hamdy Al-Merghany, Mohamed al-Kilani, Tarek El Ebiary, Huda El Mufti, Soleiman Eid, Badria Tolba, Reda Idrees, Enaam Al-Gritly, Wafaa Sadeq, Rania Mahmoud Yassin","Egypt",NA
"2020","3.5/10","98 min","Hard Kill","Action & Adventure","","November 23, 2020","Matt Eskandari","Jesse Metcalfe, Bruce Willis, Natalie Eva Marie, Lala Kent, Texas Battle, Swen Temmel, Sergio Rizzuto, Tyler Jon Olson, Jon Galanis","United States",NA
"2020","6.7/10","83 min","Shawn Mendes: In Wonder","Documentaries, Music & Musicals","","November 23, 2020","Grant Singer","Shawn Mendes","United States",NA
"2017","7.2/10","1 Season","Strongest Deliveryman","International TV Shows, Romantic TV Shows, TV Dramas","","November 23, 2020",NA,"Ko Kyung-pyo, Chae Soo-bin, Kim Seon-ho, Go Won-hee","South Korea",NA
"2018","5.3/10","97 min","The Suit","Action & Adventure, Comedies, International Movies","","November 23, 2020","Mohammad Adel","Tamer Hosny, Akram Hosny, Amina Khalil, Dalal Abdelaziz, Maged El-Masri, Yasser Ali Maher, Salwa Mohammed, Mahmoud El-Bezzawy, Hassan Hosny, Taher Abu Lela, Ahmed Zaher","Egypt",NA
"2020","5.4/10","99 min","Dolly Parton’s Christmas on the Square","Children & Family Movies, Music & Musicals","","November 22, 2020","Debbie Allen","Dolly Parton, Christine Baranski, Treat Williams, Jenifer Lewis, Josh Segarra, Jeanine Mason, Mary Lane Haskell","United States",NA
"2013","5.4/10","108 min","Machete Kills","Action & Adventure","","November 22, 2020","Robert Rodriguez","Danny Trejo, Sofía Vergara, Charlie Sheen, Michelle Rodriguez, Demián Bichir, Amber Heard, Mel Gibson, William Sadler, Alexa PenaVega, Antonio Banderas, Lady Gaga, Cuba Gooding Jr., Jessica Alba, Walton Goggins, Vanessa Hudgens","United States, Russia",NA
"2019","6.9/10","93 min","40 Sticks","International Movies, Thrillers","","November 20, 2020","Victor Gatonye","Robert Agengo, Mwaura Bilal, Andreo Kamau, Cajetan Boy, Arabron Nyyeneque, Shiviske Shivisi, Xavier Ywaya","Kenya",NA
"2020","6.3/10","42 min","Alien Xmas","Children & Family Movies","","November 20, 2020","Stephen Chiodo","Keythe Farley, Dee Bradley Baker, Kaliayh Rhambo, Michelle Deco, Barbara Goodson","United States",NA
"2020","7.9/10","3 Seasons","Flavorful Origins","Docuseries, International TV Shows","",NA,NA,"Yang Chen","China","November 20, 2020"
"2019",NA,"1 Season","Heart & Soul","International TV Shows, TV Dramas","","November 20, 2020",NA,"Anthony Monjaro, Phoenix Ezendu, Ademola Amoo, Chioma Adibe, Ijeoma Richards, Joy Mmezi",NA,NA
"2020","7.7/10","13 min","If Anything Happens I Love You","Dramas","","November 20, 2020","Will McCormack, Michael Govier",NA,"United States",NA
"2020","5.3/10","1 Season","Mismatched","International TV Shows, Romantic TV Shows, TV Comedies","","November 20, 2020",NA,"Prajakta Koli, Rohit Saraf, Vihaan Samat, Taaruk Raina, Vidya Malavade, Kritika Bharadwaj, Rannvijay Singh, Muskkaan Jaferi, Devyani Shorey, Suhasini Mulay, Abhinav Sharma, Ravin Makhija","India",NA
"2020","3.8/10","64 min","The App That Stole Christmas","Children & Family Movies, Comedies","","November 20, 2020","Monica Floyd","Jackie Long, Diane Marie Howard, Jaylin Hall, Miguel A. Núnez Jr., Ray J, JayQ The Legend, J. Anthony Brown, Kenny Rhodes, Amber Cosich","United States",NA
"2020","6.8/10","1 Season","Voices of Fire","Docuseries, Reality TV","","November 20, 2020",NA,"Pharrell Williams","United States",NA
"2004","8.6/10","162 min","Black Friday","Dramas, International Movies","","November 19, 2020","Anurag Kashyap","Pavan Malhotra, Kay Kay Menon, Aditya Srivastava, Dibyendu Bhattacharya, Kishore Kadam, Gajraj Rao, Zakir Hussain, Imtiaz Ali, Pratima Kazmi, Raj Arjun","India",NA
"2011","4.5/10","130 min","Bodyguard","Action & Adventure, Comedies, International Movies","","November 19, 2020","Siddique","Salman Khan, Kareena Kapoor, Raj Babbar, Asrani, Vidya Sinha, Hazel Keech, Chetan Hansraj, Salim Baig","India",NA
"2010","5.1/10","108 min","Break Ke Baad","Comedies, International Movies, Music & Musicals","","November 19, 2020","Danish Aslam","Imran Khan, Deepika Padukone, Shahana Goswami, Lillete Dubey, Sharmila Tagore, Navin Nischol, Parzan Dastur, Neelu Kohli, Ziyah Vastani, Yudhishtir Urs, Grady McGahan","India",NA
"2015","5.4/10","129 min","Hawaizaada","Dramas, International Movies, Romantic Movies","","November 19, 2020","Vibhu Virender Puri","Ayushmann Khurrana, Mithun Chakraborty, Pallavi Sharda, Naman Jain, Jameel Khan","India",NA
"2010","6.9/10","105 min","My Amnesia Girl","International Movies, Romantic Movies","","November 19, 2020","Cathy Garcia-Molina","John Lloyd Cruz, Toni Gonzaga, Carlos Agassi, Ketchup Eusebio, Joross Gamboa, JM de Guzman, Beatriz Saw, Nico Antonio","Philippines",NA
"2016","7.5/10","133 min","Raman Raghav 2.0","International Movies, Thrillers","","November 19, 2020","Anurag Kashyap","Nawazuddin Siddiqui, Vicky Kaushal, Sobhita Dhulipala, Mukesh Chhabra, Anuschka Sawhney, Vipin Sharma, Deepali Suryakant Badekar, Ashok Lokhande, Harssh Singh, Rajesh Jais, Hitesh Dave","India",NA
"2011","7.0/10","142 min","Singham","Action & Adventure, Dramas, International Movies","","November 19, 2020","Rohit Shetty","Ajay Devgn, Kajal Aggarwal, Prakash Raj, Sonali Kulkarni, Sachin Khedekar, Sudhanshu Pandey, Anant Jog","India",NA
"2016","7.2/10","128 min","TE3N","Dramas, International Movies, Thrillers","","November 19, 2020","Ribhu Dasgupta","Amitabh Bachchan, Nawazuddin Siddiqui, Vidya Balan, Mukesh Chhabra, Sabyasachi Chakraborty, Prakash Belawadi, Tota Roy Chowdhury, Padmavati Rao, Suneel Sinha","India",NA
"2020","5.5/10","97 min","The Princess Switch: Switched Again","Children & Family Movies, Dramas, Romantic Movies","","November 19, 2020","Mike Rohl","Vanessa Hudgens, Nick Sagar, Sam Palladio, Mia Lloyd, Lachlan Nieboer, Ricky Norwood, Florence Hall, Suanne Braun, Mark Fleischmann","United States",NA
"2018","7.5/10","107 min","Three Words to Forever","Comedies, Dramas, International Movies","","November 19, 2020","Cathy Garcia-Molina","Sharon Cuneta, Richard Gomez, Kathryn Bernardo, Liza Lorena, Freddie Webb, Tommy Esguerra, Joross Gamboa, Tobie Dela Cruz","Philippines",NA
"2009","7.2/10","135 min","Well Done Abba","Comedies, International Movies","","November 19, 2020","Shyam Benegal","Boman Irani, Minissha Lamba, Sammir Dattani, Ila Arun, Ravi Kishan, Sonali Kulkarni, Rajit Kapoor, Ravi Jhankal, Yashpal Sharma, Rajendra Gupta","India",NA
"2020","5.5/10","1 Season","Holiday Home Makeover with Mr. Christmas","Reality TV","","November 18, 2020",NA,"Benjamin Bradley","United States",NA
"2020","6.8/10","84 min","Ainu Mosir","Dramas, International Movies","","November 17, 2020","Takeshi Fukunaga","Kanto Shimokura, Debo Akibe, Emi Shimokura, Toko Miura, Lily Franky","United States, Japan",NA
"2020","5.8/10","70 min","Kevin Hart: Zero F**ks Given","Stand-Up Comedy","","November 17, 2020","Leslie Small","Kevin Hart","United States",NA
"2020","6.7/10","4 Seasons","The Boss Baby: Back in Business","Kids' TV, TV Comedies","",NA,NA,"JP Karliak, Pierce Gagnon, Kevin Michael Richardson, Alex Cazares, Flula Borg, Jake Green, Eric Bell Jr., David Lodge, Hope Levy, David Collins, Tony Hale, Nicole Sullivan","United States","November 17, 2020"
"2020","7.2/10","1 Season","We Are the Champions","Docuseries, Reality TV","","November 17, 2020",NA,NA,"United States",NA
"2016","6.9/10","124 min","Loving","Dramas, Romantic Movies","","November 16, 2020","Jeff Nichols","Joel Edgerton, Ruth Negga, Marton Csokas, Nick Kroll, Michael Shannon, Terri Abney, Alano Miller, Jon Bass, Bill Camp, David Jensen","United Kingdom, United States",NA
"2017","5.3/10","102 min","Whose Streets?","Documentaries","","November 16, 2020","Sabaah Folayan, Damon Davis",NA,"United States",NA
"2017","6.2/10","84 min","A Very Country Christmas","Music & Musicals, Romantic Movies","","November 15, 2020","Justin G. Dyck","Bea Santos, Greyston Holt, Greg Vaughan, Deana Carter, Allison Hossack","United States, Canada",NA
"2013","5.7/10","2 Seasons","America's Next Top Model","Reality TV","",NA,NA,"Tyra Banks","United States","November 15, 2020"
"2019","8.2/10","1 Season","Beyblade Burst Rise","Anime Series, Kids' TV","","November 15, 2020",NA,"Erika Harlacher, Griffin Puatu, Kimlinh Tran, Taylor Henry, Janice Roman Roku, Brian Anderson","Japan",NA
"2013","6.6/10","95 min","Cloudy with a Chance of Meatballs 2","Children & Family Movies, Comedies","","November 15, 2020","Cody Cameron, Kris Pearn","Bill Hader, Anna Faris, James Caan, Will Forte, Andy Samberg, Benjamin Bratt, Neil Patrick Harris, Terry Crews, Kristen Schaal","United States",NA
"2018","4.9/10","84 min","Hometown Holiday","Romantic Movies","","November 15, 2020","Justin G. Dyck","Sarah Troyer, Bradley Hamilton, Kevin McGarry, Samantha Gracie","Canada",NA
"2021","6.5/10","2 Seasons","Polly Pocket","Kids' TV","",NA,NA,"Emily Tennant, Shannon Chan-Kent, Kazumi Evans, Patricia Drake, Rhona Rees, Ian Hanlin, Maryke Hendrikse, Vincent Tong, David Kaye, Ellen Kennedy","Canada, United States, Ireland","November 15, 2020"
"2014","7.3/10","2 Seasons","Survivor","Reality TV","",NA,NA,"Jeff Probst, Jerri Manthey, Colby Donaldson, Rupert Boneham, Parvati Shallow, Rob Mariano, Amanda Kimmel, James Clement, Amber Brkich, Alicia Calaway, Ethan Zohn, Tina Wesson","United States","November 15, 2020"
"2020","8.6/10","4 Seasons","The Crown","British TV Shows, International TV Shows, TV Dramas","",NA,NA,"Claire Foy, John Lithgow, Matt Smith, Vanessa Kirby, Jared Harris, Victoria Hamilton, Eileen Atkins, Jeremy Northam, Alex Jennings, Ben Miles, Pip Torrens, Will Keen, Harry Hadden-Paton, Daniel Ings, Greg Wise, Harriet Walter, Lia Williams, Matthew Goode, Anton Lesser","United Kingdom, United States","November 15, 2020"
"1954","7.7/10","120 min","White Christmas","Children & Family Movies, Classic Movies, Comedies","","November 15, 2020","Michael Curtiz","Bing Crosby, Danny Kaye, Rosemary Clooney, Vera-Ellen, Dean Jagger, Mary Wickes, John Brascia, Anne Whitfield, George Chakiris","United States",NA
"2019","4.2/10","87 min","Killer Cove","Thrillers","","November 14, 2020","Damián Romay","Haley Webb, Donny Boaz, Cathy Baron, Jason Alan Smith, Dennis Staroselsky, Owen Miller, Shawn Fitzgibbon","United States",NA
"2019","8.1/10","9 Seasons","American Horror Story","TV Horror, TV Mysteries, TV Thrillers","",NA,NA,"Evan Peters, Sarah Paulson, Jessica Lange, Denis O'Hare, Kathy Bates, Angela Bassett, Lily Rabe, Frances Conroy, Cheyenne Jackson, Emma Roberts, Taissa Farmiga, Wes Bentley, Finn Wittrock, Chloë Sevigny, Zachary Quinto, Jamie Brewer, Naomi Grossman, Dylan McDermott, Gabourey Sidibe, Lady Gaga, Mare Winningham, Joseph Fiennes, Michael Chiklis, Matt Bomer, Lizzie Brocheré, Erika Ervin, Mat Fraser, Rose Siggins, Connie Britton, James Cromwell, Adina Porter, Jyoti Amge, Billie Lourde, Alison Pill, Billy Eichner, Leslie Grossman, Colton Haynes, Cuba Gooding Jr., André Holland, Danny Huston","United States","November 13, 2020"
"2020",NA,"75 min","Fukrey Boyzzz: Space Mein Fukrapanti","Children & Family Movies, Comedies","","November 13, 2020","Avinash Walzade","Viraaj Modgill, Jasleen Singh, Pooja Punjabi, Amit Deondi, Ketan Kava, Zeel Thakkar, Manish Bhavan, Viswanathan Sridhar","India",NA
"2020","6.6/10","124 min","Jingle Jangle: A Christmas Journey","Children & Family Movies, Music & Musicals","","November 13, 2020","David E. Talbert","Forest Whitaker, Keegan-Michael Key, Hugh Bonneville, Anika Noni Rose, Madalen Mills, Phylicia Rashad, Ricky Martin, Justin Cornwell, Sharon Rose, Lisa Davina Phillip, Kieron Dyer","United States",NA
"2020",NA,"92 min","The Beginning of Life 2: Outside","Documentaries, International Movies","","November 13, 2020","Renata Terra",NA,"Brazil",NA
"2020","6.6/10","95 min","The Life Ahead","Dramas, International Movies","","November 13, 2020","Edoardo Ponti","Sophia Loren, Ibrahima Gueye, Renato Carpentieri, Diego Iosif Pirvu, Massimiliano Rossi, Abril Zamora, Babak Karimi","Italy",NA
"2020","6.4/10","1 Season","The Minions of Midas","Crime TV Shows, International TV Shows, Spanish-Language TV Shows","","November 13, 2020","Mateo Gil","Luis Tosar, Marta Belmonte, Guillermo Toledo, Carlos Blanco, Marta Milans, Goize Blanco, Elena Irureta, Bea Segura, Jorge Andreu, Daniel Holguín, Adolfo Fernández, Fernando Barona, Juan Blanco, Ahmed Boulane, Pepe Ocio, Vito Sanz, Adelfa Calvo, Joaquín Climent, Carmelo Gómez, Miguel Ángel Solá","Spain",NA
"2008","6.5/10","107 min","A Very Special Love","International Movies, Romantic Movies","","November 12, 2020","Cathy Garcia-Molina","John Lloyd Cruz, Sarah Geronimo, Dante Rivero, Rowell Santiago, Johnny Revilla, Bing Pimental, Daphne Osena-Paez, Al Tantay, Irma Adlawan, Arno Morales, Miles Ocampo","Philippines",NA
"2020","8.6/10","1 Season","Ethos","International TV Shows, TV Dramas","","November 12, 2020",NA,"Öykü Karayel, Fatih Artman, Funda Eryigit, Defne Kayalar, Settar Tanriögen, Tülin Özen, Alican Yücesoy, Bige Önal","Turkey",NA
"2018","6.0/10","123 min","First Love","Dramas, International Movies, Romantic Movies","","November 12, 2020","Paul Soriano","Aga Muhlach, Bea Alonzo, Sandy Andolong, Albie Casino, Edward Barber, Maureen Mann, Tim Donadt, Giselle Toengi, Raymond Lauchengco, Beverly Salviejo","Philippines",NA
"2013","7.4/10","85 min","Fruitvale Station","Dramas, Independent Movies","","November 12, 2020","Ryan Coogler","Michael B. Jordan, Melonie Diaz, Octavia Spencer, Kevin Durand, Chad Michael Murray, Ahna O'Reilly, Ariana Neal, Keenan Coogler, Trestin George, Joey Oglesby","United States",NA
"2020","6.4/10","1 Season","Graceful Friends","Crime TV Shows, International TV Shows, TV Dramas","","November 12, 2020",NA,"Yu Jun-sang, Song Yoon-a, Bae Soo-bin, Kim Sung-oh, Jung Seok-yong, Kim Won-hae","South Korea",NA
"2020","7.5/10","150 min","Ludo","Comedies, Dramas, International Movies","","November 12, 2020","Anurag Basu","Abhishek Bachchan, Aditya Roy Kapur, Rajkummar Rao, Sanya Malhotra, Fatima Sana Shaikh, Pankaj Tripathi, Rohit Saraf, Shalini Vatsa, Pearle Maaney","India",NA
"2019","6.2/10","97 min","Memories of a Teenager","Dramas, International Movies, LGBTQ Movies","","November 12, 2020","Lucas Santa Ana","Renato Quattordio, Malena Narvay, Thomás Lepera, Jerónimo Giocondo Bosia, Tomás Wicz, Tomás Raimondi, Majo Chicar, Agustina Cabo","Argentina",NA
"2008","3.8/10","88 min","Prom Night","Horror Movies","","November 12, 2020","Nelson McCormick","Brittany Snow, Scott Porter, Jessica Stroup, Dana Davis, Collins Pennie, Kelly Blatz, James Ransone, Brianne Davis, Kellan Lutz, Mary Mara, Ming-Na Wen, Johnathon Schaech, Idris Elba","United States, Canada",NA
"2020","6.2/10","1 Season","A Queen Is Born","International TV Shows, Reality TV","","November 11, 2020","Carla Barros","Gloria Groove, Alexia Twister","Brazil",NA
"2020","8.2/10","1 Season","Aunty Donna's Big Ol' House of Fun","TV Comedies","","November 11, 2020",NA,"Mark Samual Bonanno, Broden Kelly, Zachary Ruane, Ed Helms, Kristen Schaal, Weird Al Yankovic, Kia Stevens, Paul F. Tompkins, Tawny Newsome","Australia",NA
"2020","7.5/10","1 Season","The Liberator","TV Action & Adventure, TV Dramas","","November 11, 2020",NA,"Bradley James, Martin Sensmeier, Jose Miguel Vasquez, Forrest Goodluck, Bryan Hibbard, Matt Mercurio, Harrison Stone, Billy Breed, Tatanka Means, Kiowa Gordon","United States",NA
"2020","7.3/10","1 Season","Trial 4","Crime TV Shows, Docuseries","","November 11, 2020",NA,NA,"United States",NA
"1979",NA,"74 min","We Are All For The Fatherland","Documentaries, International Movies","","November 11, 2020",NA,NA,"Lebanon, Canada, France",NA
"2020","6.0/10","93 min","What We Wanted","Dramas, International Movies","","November 11, 2020","Ulrike Kofler","Lavinia Wilson, Elyas M'Barek, Anna Unterberger, Lukas Spisser, Iva Höpperger, Fedor Teyml, Marta Manduca, Maria Hofstätter, Tina Haller","Austria",NA
"2006","8.8/10","1 Season","A Lion in the House","TV Shows","","November 10, 2020","Steven Bognar, Julia Reichert",NA,"United States",NA
"2020","7.4/10","1 Season","DASH & LILY","Romantic TV Shows, TV Comedies, TV Dramas","","November 10, 2020",NA,"Midori Francis, Austin Abrams, Dante Brown, Troy Iwata","United States",NA
"2020",NA,"1 Season","Bakugan: Armored Alliance","Anime Series, Kids' TV","","November 6, 2020",NA,NA,NA,NA
"2018","4.9/10","1 Season","Bakugan: Battle Planet","Anime Series, Kids' TV","",NA,NA,"Jonah Wineberg, Deven Christian Mack, Margarita Valderrama, Ticoon Kim, Jason Deline, Will Bowes","Japan, Canada, United States","November 6, 2020"
"2020","6.4/10","151 min","Citation","Dramas, International Movies","","November 6, 2020","Kunle Afolayan","Temi Otedola, Jimmy Jean-Louis, Joke Silva, Gabriel Afolayan, Adjetey Anang, Ini Edo, Sadiq Daba, Wole Olowomojuore, Yomi Fash-Lanso, Bukunmi Oluwashina, Bienvenu Neba, Ray Reboul, Ibukun Awosika, Seun Kuti","Nigeria",NA
"2020","6.6/10","1 Season","Country Ever After","Reality TV","","November 6, 2020",NA,NA,"United States",NA
"2020","5.8/10","82 min","Girl's Revenge","Dramas, International Movies","","November 6, 2020","Weica Wang","Wang Yu-ping, Yuri Chen, Shiny Yao, Pii Liu, Mike Lin, Edison Song, Xia Teng-hong, Moon Lee","Taiwan",NA
"2019","7.3/10","148 min","The Endless Trench","Dramas, Independent Movies, International Movies","","November 6, 2020","Aitor Arregi, Jon Garano, Jose Mari Goenaga","Antonio de la Torre, Belén Cuesta, Vicente Vergara, José Manuel Poga, Emilio Palacios","Spain, France, Canada",NA
"2016","5.0/10","95 min","The Late Bloomer","Comedies","","November 6, 2020","Kevin Pollak","Johnny Simmons, Maria Bello, Brittany Snow, Kumail Nanjiani, Beck Bennett, Paul Wesley, Jane Lynch, J.K. Simmons, Lenora Crichlow","United States",NA
"2018","7.7/10","1 Season","Wrong Kind of Black","International TV Shows, TV Comedies, TV Dramas","","November 6, 2020",NA,"Clarence Ryan, Aaron L. McGrath, Lisa Flanagan, Tommy Lewis, Nilbi Yasserie, Christopher Ketchup, Boori Monty Pryor, Jacek Koman, Colin Lane, Arthur Angel, Toby Truslove","Australia",NA
"2020","5.6/10","90 min","A New York Christmas Wedding","Dramas, LGBTQ Movies, Romantic Movies","","November 5, 2020","Otoja Abit","Nia Fairweather, Chris Noth, Cooper Koch, Tyra Ferrell, Denny Dillon, Adriana DeMeo, Otoja Abit, David Anzuelo, Camilla Harden, Natasha Goodman, Avery Whitted, Tony D. Head, Joe Perrino","United States",NA
"2019","6.7/10","103 min","Alone/Together","Dramas, International Movies, Romantic Movies","","November 5, 2020","Antoinette Jadaone","Liza Soberano, Enrique Gil, Adrian Alandy, Jasmine Curtis-Smith, Sylvia Sanchez, Nonie Buencamino, Xia Vigor, Richard Manabat","Philippines",NA
"2020","7.0/10","1 Season","Carmel: Who Killed Maria Marta?","Crime TV Shows, Docuseries, International TV Shows","","November 5, 2020","Alejandro Hartmann",NA,"Argentina",NA
"2020","5.7/10","87 min","Midnight at the Magnolia","Comedies, Romantic Movies","","November 5, 2020","Maxwell McGuire","Natalie Hall, Evan Williams, Michael Gordon Shore, Steve Cumyn, Albert Brooks","Canada",NA
"2012","6.2/10","102 min","One More Try","Dramas, International Movies, Romantic Movies","","November 5, 2020","Ruel S. Bayani","Angel Locsin, Angelica Panganiban, Dingdong Dantes, Zanjoe Marudo, Miguel Vergara, Gina Pareno, Carmina Villarroel, Agot Isidro","Philippines",NA
"2020","5.7/10","96 min","Operation Christmas Drop","Children & Family Movies, Comedies, Romantic Movies","","November 5, 2020","Martin Wood","Kat Graham, Alexander Ludwig, Virginia Madsen, Janet Kidder, Jeff Joseph, Bethany Brown, Trezzo Mahoro, Rohan Campbell, Aliza Vellani, Aaron Douglas, Xavier de Guzman, Bruce Best","United States",NA
"2020","8.4/10","1 Season","Paranormal","International TV Shows, TV Dramas, TV Horror","","November 5, 2020",NA,"Ahmed Amin, Razane Jammal, Ayah Samaha, Samaa Ibrahem, Roshdy El Shamy, Reem Abd El Kader","Egypt",NA
"2018","5.2/10","87 min","A Christmas Catch","Dramas, Romantic Movies","","November 4, 2020",NA,"Emily Alatalo, Lauren Holly, Yanic Truesdale, Franco Lo Presti, Andrew Bushell, Genelle Williams, Kyana Teresa, Eric Hicks","Canada",NA
"2018","5.0/10","86 min","Christmas with a Prince","Comedies, Dramas, Romantic Movies","","November 4, 2020","Justin G. Dyck","Kaitlyn Leeb, Nick Hounslow, Josh Dean, Melinda Shankar, Liam MacDonald, Ilamaria Ebrahim, Charles Shaughnessy, Julia Baldwin","Canada",NA
"2020",NA,"1 Season","Love & Anarchy","International TV Shows, Romantic TV Shows, TV Comedies","","November 4, 2020",NA,"Ida Engvoll, Björn Mosten, Carla Sehn, Reine Brynolfsson, Gizem Erdogan, Björn Kjellman, Ruben Lopez, Johannes Kuhnke, Elsa Agemalm Reiland, Benjamin Shaps, Disa Östrand, Ejke Blomberg, Lars Väringer","Sweden",NA
"2020","3.4/10","136 min","Miss India","Dramas, International Movies","","November 4, 2020","Narendra Nath","Keerthy Suresh, Dr. Rajendra Prasad, Jagapathi Babu, V. K. Naresh, Nadhiya, Naveen Chandra, Sumanth Shailendra, Kamal Kamaraju, Praveen, Pujitha Ponnada, Divya Sripada","India",NA
"2020","6.0/10","60 min","Felix Lobrecht: Hype","Stand-Up Comedy","","November 3, 2020","Jan-Peter Horns","Felix Lobrecht","Germany",NA
"2020","6.7/10","127 min","MOTHER","Dramas, International Movies","","November 3, 2020","Tatsushi Omori","Masami Nagasawa, Sadao Abe, Daiken Okudaira","Japan",NA
"2016",NA,"96 min","The Beginning of Life","Documentaries, International Movies","","November 3, 2020","Estela Renner",NA,NA,NA
"2020",NA,"15 min","Ya no estoy aquí: Una conversación entre Guillermo del Toro y Alfonso Cuarón","Documentaries","","November 3, 2020",NA,"Guillermo del Toro, Alfonso Cuarón",NA,NA
"2020","7.6/10","2 Seasons","Can You Hear Me?","International TV Shows, TV Comedies, TV Dramas","",NA,NA,"Mélissa Bédard, Eve Landry, Florence Longpré","Canada","November 2, 2020"
"2018","6.2/10","100 min","Prospect","Sci-Fi & Fantasy, Thrillers","","November 2, 2020","Zeek Earl, Christopher Caldwell","Sophie Thatcher, Pedro Pascal, Jay Duplass, Andre Royo, Sheila Vand, Anwan Glover","Canada, United States",NA
"2019","7.6/10","1 Season","60 Days In","Reality TV","","November 1, 2020",NA,NA,"United States",NA
"2019","4.5/10","87 min","Christmas Break-In","Children & Family Movies, Comedies","","November 1, 2020","Michael Kampa","Danny Glover, Denise Richards, Cameron Seely, Sean O'Bryan, Katrina Begin, Jake Van Wagoner, Douglas Spain, Dawson Ehlke","United States",NA
"2002","6.8/10","6 Seasons","Dawson's Creek","Romantic TV Shows, TV Dramas, Teen TV Shows","",NA,NA,"James Van Der Beek, Katie Holmes, Michelle Williams, Joshua Jackson, Kerr Smith, Meredith Monroe, Busy Philipps, Mary Beth Peil","United States","November 1, 2020"
"2020","4.9/10","28 min","Elf Pets: A Fox Cub’s Christmas Tale","Children & Family Movies","","November 1, 2020","Chanda Bell","Leslie Bellair, Brad Hyland, Brody Rose, Carol Aebersold","United States",NA
